# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-12.5 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2949 26.2094 26.3691
2.0000 26.9637 26.8635 27.0486
3.8000 26.9304 26.8054 27.0318
4.9000 26.7783 26.6319 26.8925
5.9000 26.5916 26.4213 26.7189
6.8000 26.3991 26.2038 26.5387
7.9000 26.1459 25.9164 26.3007
9.0000 25.8842 25.6172 26.0536
10.4000 25.5524 25.2333 25.7391
12.0000 25.1546 24.7821 25.3564
14.0000 24.6283 24.1972 24.8442
16.0000 24.0972 23.6033 24.3259
