# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-14.5 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2822 26.1997 26.3543
2.0000 26.9539 26.8569 27.0366
3.8000 26.9147 26.7955 27.0125
4.9000 26.7525 26.6160 26.8612
5.9000 26.5536 26.3980 26.6733
6.8000 26.3444 26.1699 26.4742
7.9000 26.0628 25.8636 26.2046
9.0000 25.7643 25.5388 25.9177
10.4000 25.3626 25.1048 25.5287
12.0000 24.8786 24.5867 25.0567
14.0000 24.2262 23.8976 24.4159
16.0000 23.5275 23.1657 23.7265
