# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-15.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2775 26.1958 26.3489
2.0000 26.9505 26.8544 27.0326
3.8000 26.9078 26.7906 27.0043
4.9000 26.7424 26.6089 26.8493
5.9000 26.5393 26.3880 26.6567
6.8000 26.3246 26.1559 26.4515
7.9000 26.0339 25.8428 26.1720
9.0000 25.7238 25.5091 25.8727
10.4000 25.3032 25.0595 25.4640
12.0000 24.7928 24.5185 24.9650
14.0000 24.1343 23.8219 24.3191
16.0000 23.4053 23.0627 23.5990
