# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-13.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2924 26.2076 26.3661
2.0000 26.9622 26.8626 27.0467
3.8000 26.9269 26.8034 27.0274
4.9000 26.7728 26.6289 26.8857
5.9000 26.5833 26.4167 26.7087
6.8000 26.3869 26.1970 26.5241
7.9000 26.1269 25.9055 26.2784
9.0000 25.8566 25.6009 26.0217
10.4000 25.5111 25.2081 25.6928
12.0000 25.0940 24.7431 25.2900
14.0000 24.5401 24.1373 24.7495
16.0000 23.9493 23.4996 24.1692
