# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-17.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2357 26.1593 26.3030
2.0000 26.9249 26.8339 27.0033
3.8000 26.8713 26.7622 26.9627
4.9000 26.6917 26.5694 26.7919
5.9000 26.4646 26.3295 26.5729
6.8000 26.2258 26.0780 26.3416
7.9000 25.8957 25.7324 26.0202
9.0000 25.5370 25.3577 25.6697
10.4000 25.0384 24.8402 25.1803
12.0000 24.4218 24.2037 24.5723
14.0000 23.5751 23.3360 23.7341
16.0000 22.6617 22.4026 22.8284
