# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-14.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2872 26.2036 26.3600
2.0000 26.9576 26.8595 27.0410
3.8000 26.9190 26.7984 27.0177
4.9000 26.7610 26.6216 26.8713
5.9000 26.5629 26.4042 26.6843
6.8000 26.3574 26.1786 26.4893
7.9000 26.0884 25.8811 26.2338
9.0000 25.7920 25.5585 25.9487
10.4000 25.4168 25.1446 25.5882
12.0000 24.9563 24.6455 25.1406
14.0000 24.3396 23.9880 24.5358
16.0000 23.6801 23.2915 23.8861
