# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-13.5 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2901 26.2058 26.3634
2.0000 26.9598 26.8610 27.0437
3.8000 26.9238 26.8015 27.0236
4.9000 26.7665 26.6251 26.8779
5.9000 26.5738 26.4111 26.6972
6.8000 26.3731 26.1887 26.5076
7.9000 26.1058 25.8924 26.2538
9.0000 25.8260 25.5816 25.9869
10.4000 25.4661 25.1788 25.6426
12.0000 25.0283 24.6981 25.2185
14.0000 24.4439 24.0673 24.6468
16.0000 23.8199 23.4017 24.0329
