# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-15.5 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2717 26.1909 26.3423
2.0000 26.9464 26.8513 27.0278
3.8000 26.9016 26.7861 26.9971
4.9000 26.7334 26.6023 26.8390
5.9000 26.5225 26.3756 26.6375
6.8000 26.3019 26.1391 26.4258
7.9000 26.0010 25.8179 26.1354
9.0000 25.6783 25.4740 25.8227
10.4000 25.2376 25.0076 25.3930
12.0000 24.6997 24.4425 24.8656
14.0000 24.0025 23.7108 24.1806
16.0000 23.2294 22.9107 23.4161
