# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-12.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2964 26.2104 26.3710
2.0000 26.9654 26.8645 27.0507
3.8000 26.9334 26.8070 27.0356
4.9000 26.7830 26.6344 26.8984
5.9000 26.5989 26.4250 26.7280
6.8000 26.4099 26.2093 26.5520
7.9000 26.1629 25.9253 26.3210
9.0000 25.9094 25.6308 26.0829
10.4000 25.5899 25.2541 25.7816
12.0000 25.2101 24.8146 25.4178
14.0000 24.7319 24.2610 24.9561
16.0000 24.2137 23.6753 24.4501
