# Mason+15 Dust corrected (unobscured) luminosity density in units ergs/s/Hz/Mpc^3, Mlim=-16.0 
#  z  logLdens  logLdens_l  logLdens_u
0.0000 26.2616 26.1822 26.3311
2.0000 26.9395 26.8459 27.0198
3.8000 26.8915 26.7783 26.9855
4.9000 26.7231 26.5945 26.8272
5.9000 26.5078 26.3643 26.6209
6.8000 26.2822 26.1238 26.4038
7.9000 25.9733 25.7962 26.1048
9.0000 25.6405 25.4439 25.7814
10.4000 25.1837 24.9636 25.3350
12.0000 24.6236 24.3789 24.7849
14.0000 23.8596 23.5881 24.0307
16.0000 23.0386 22.7429 23.2181
