# Mason+19 z~8 neutral fraction posterior (KLASS)
# xHI	pxHI
0.01	0.01972674591548665
0.01990990990990991	0.020387363910179063
0.02981981981981982	0.02129052778282619
0.03972972972972973	0.02239947609997083
0.049639639639639646	0.023472300290427447
0.05954954954954955	0.024464903305899295
0.06945945945945946	0.02561545720546158
0.07936936936936936	0.027208040227376315
0.08927927927927928	0.029052823893560238
0.09918918918918919	0.03090680972021117
0.1090990990990991	0.0327549659867692
0.11900900900900901	0.03447445117285484
0.12891891891891893	0.03603682534217835
0.13882882882882885	0.03755113051842623
0.14873873873873875	0.040094203849007866
0.15864864864864867	0.043941102895402394
0.16855855855855859	0.04894146625131481
0.17846846846846848	0.053392482913040884
0.1883783783783784	0.0568151695255813
0.19828828828828832	0.059209526088936065
0.2081981981981982	0.061165929478239844
0.21810810810810813	0.06379355532727424
0.22801801801801805	0.06711814038907919
0.23792792792792794	0.07114134471706818
0.24783783783783786	0.0758901024323049
0.2577477477477478	0.08137385324680328
0.2676576576576577	0.08759259716056333
0.2775675675675676	0.09463453167500877
0.2874774774774775	0.1027055009587116
0.2973873873873874	0.11181395477229594
0.3072972972972973	0.12190308906905031
0.31720720720720724	0.13153941518383017
0.32711711711711716	0.1400991805683374
0.3370270270270271	0.14758238522257194
0.34693693693693695	0.15485121175317537
0.35684684684684687	0.16440423016306832
0.3667567567567568	0.17639980052285834
0.3766666666666667	0.1908200329306973
0.3865765765765766	0.2068554779342304
0.39648648648648654	0.22406850593302624
0.4063963963963964	0.24244766933449105
0.41630630630630633	0.2612768324762397
0.42621621621621625	0.28013048083689607
0.43612612612612617	0.2990123256872393
0.4460360360360361	0.3182676636605472
0.455945945945946	0.3381222884710138
0.46585585585585587	0.3585762001186389
0.4757657657657658	0.3796018007335456
0.4856756756756757	0.40107789146726014
0.49558558558558563	0.42299021521708224
0.5054954954954956	0.4453449794590147
0.5154054054054055	0.47086105868233546
0.5253153153153154	0.5017793517240979
0.5352252252252253	0.538097022382312
0.5451351351351352	0.5740792702337179
0.555045045045045	0.60448195779928
0.564954954954955	0.6293050850789996
0.5748648648648649	0.656581696850052
0.5847747747747748	0.6944917276598339
0.5946846846846847	0.7430353449995317
0.6045945945945946	0.7941709751868474
0.6145045045045046	0.8387912511000948
0.6244144144144145	0.8768874875773696
0.6343243243243244	0.9214950200006546
0.6442342342342343	0.9889751731969899
0.6541441441441442	1.0749981657003045
0.6640540540540542	1.14231970828643
0.6739639639639641	1.1824590021638277
0.6838738738738739	1.213078100501358
0.6937837837837838	1.2603280739060723
0.7036936936936937	1.3244496713312117
0.7136036036036036	1.3951610362318447
0.7235135135135136	1.4556988051152107
0.7334234234234235	1.5079065497187887
0.7433333333333334	1.5771030440112388
0.7532432432432433	1.6686742220095108
0.7631531531531532	1.7546024365359891
0.7730630630630632	1.8276879568791045
0.7829729729729731	1.911885066234907
0.792882882882883	2.0133824429918437
0.8027927927927928	2.1017378529601087
0.8127027027027027	2.1679492181747797
0.8226126126126126	2.2464553217156142
0.8325225225225226	2.3482619945430163
0.8424324324324325	2.4300195365708075
0.8523423423423424	2.476773183313695
0.8622522522522523	2.549612773205807
0.8721621621621622	2.6487943448799793
0.8820720720720722	2.7071462032997067
0.8919819819819821	2.791993698168592
0.901891891891892	2.915199398875871
0.9118018018018019	3.014224248758014
0.9217117117117117	3.0998350859864097
0.9316216216216217	3.2011843402374436
0.9415315315315316	3.2818525135887318
0.9514414414414415	3.333732962367656
0.9613513513513514	3.4674116937379265
0.9712612612612613	3.6924627366271454
0.9811711711711713	4.008886091035313
0.9910810810810812	4.416681756962428
1.0	4.416681756962428
